id,nev,szekhelyid,adoszam,email,telefon
1569,Biró Mia,2355,82380844-2-07,Biró.Mia@email.hu,+36891260308
1570,Márton Martin,764,80535491-2-41,Márton.Martin@email.hu,+36227986269
1571,Szücs Lilien,956,30091271-1-30,Szücs.Lilien@email.hu,+36309360278
1572,Németh Richárd,1969,86142582-1-35,Németh.Richárd@email.hu,+36103385547
1573,Major Bianka,854,55564708-1-10,Major.Bianka@email.hu,+36578566926
1574,Király Marcell,2587,53258401-1-25,Király.Marcell@email.hu,+36841544026
1575,Balogh Emese,2401,55745926-2-05,Balogh.Emese@email.hu,+36136789682
1576,Antal Kevin,1492,20577804-2-25,Antal.Kevin@email.hu,+36175563418
1577,Sándor Miklós,22,91196509-1-03,Sándor.Miklós@email.hu,+36450694899
1578,Simon Bianka,2133,71671586-1-41,Simon.Bianka@email.hu,+36730811899
1579,Fazekas Liza,1617,66337618-1-10,Fazekas.Liza@email.hu,+36609696805
1580,Balla Nimród,1372,21008150-1-25,Balla.Nimród@email.hu,+36932698033
1581,Sipos Dóra,2189,47398965-1-03,Sipos.Dóra@email.hu,+36405278509
1582,Fehér Ádám,1154,21862076-2-30,Fehér.Ádám@email.hu,+36689480529
1583,Borbély Kitti,2026,35650845-1-15,Borbély.Kitti@email.hu,+36693354212
1584,Orosz Regina,742,86941774-2-05,Orosz.Regina@email.hu,+36519341016
1585,Hajas János,2423,47488002-2-42,Hajas.János@email.hu,+36465146371
1586,Soós Zalán,387,33715892-1-25,Soós.Zalán@email.hu,+36342469424
1587,Csonka Lili,723,40030186-2-15,Csonka.Lili@email.hu,+36504216522
1588,Pap Lilla,467,87994475-1-35,Pap.Lilla@email.hu,+36917915848
1589,Mészáros Zénó,2234,13009781-2-05,Mészáros.Zénó@email.hu,+36202315758
1590,Csonka Lotti,561,48380526-1-41,Csonka.Lotti@email.hu,+36409836234
1591,Horváth Abigél,1701,95598385-2-15,Horváth.Abigél@email.hu,+36260255029
1592,Antal Mirkó,954,21251353-2-15,Antal.Mirkó@email.hu,+36705171036
1593,Vass Boldizsár,142,72536868-1-25,Vass.Boldizsár@email.hu,+36482067505
1594,Máté Nándor,854,16939317-2-35,Máté.Nándor@email.hu,+36533740987
1595,Balla Rozina,2293,72592472-1-42,Balla.Rozina@email.hu,+36536285047
1596,Sándor Zsolt,1137,94573499-2-10,Sándor.Zsolt@email.hu,+36959737750
1597,Bakos Lajos,2649,48701745-2-07,Bakos.Lajos@email.hu,+36988528570
1598,Balázs Hédi,633,64854781-2-05,Balázs.Hédi@email.hu,+36941678519
1599,Jakab Kende,1588,10192107-2-25,Jakab.Kende@email.hu,+36441157383
1600,Fazekas Benedek,1842,17808360-1-35,Fazekas.Benedek@email.hu,+36762187330
1601,Veres Adél,2930,51851720-1-41,Veres.Adél@email.hu,+36301449066
1602,Bogdán Csanád,2902,81491263-1-10,Bogdán.Csanád@email.hu,+36886716890
1603,Juhász Donát,2985,69859962-1-15,Juhász.Donát@email.hu,+36148554630
1604,Vincze Dorka,2035,15388420-1-07,Vincze.Dorka@email.hu,+36956561384
1605,Mezei Lotti,632,17600996-2-07,Mezei.Lotti@email.hu,+36163147462
1606,Hajdu Bertalan,1157,92405442-1-30,Hajdu.Bertalan@email.hu,+36326445912
1607,Szilágyi Szabolcs,383,44768420-1-05,Szilágyi.Szabolcs@email.hu,+36537610427
1608,Pataki Vilmos,419,45124368-1-03,Pataki.Vilmos@email.hu,+36152587128
1609,Pásztor Norbert,1409,53955945-1-03,Pásztor.Norbert@email.hu,+36732759051
1610,Lakatos Ákos,319,57664599-1-42,Lakatos.Ákos@email.hu,+36408548409
1611,Lakatos Bianka,2575,27959478-1-35,Lakatos.Bianka@email.hu,+36306178650
1612,Barna Boglárka,944,17648203-2-15,Barna.Boglárka@email.hu,+36121618110
1613,Kis Flóra,2201,54356448-2-03,Kis.Flóra@email.hu,+36866164432
1614,Virág Olivér,1407,50702743-1-25,Virág.Olivér@email.hu,+36440430782
1615,Pintér Attila,767,91932712-2-05,Pintér.Attila@email.hu,+36242801157
1616,Bodnár Tibor,2562,86045759-2-03,Bodnár.Tibor@email.hu,+36984653753
1617,Székely Amira,2944,58340096-1-03,Székely.Amira@email.hu,+36758256389
1618,Kis Brendon,1822,22231831-2-42,Kis.Brendon@email.hu,+36387716482
1619,Deák Tamara,1268,57793198-2-41,Deák.Tamara@email.hu,+36886780476
1620,Tóth Linett,905,47751599-2-05,Tóth.Linett@email.hu,+36213664211
1621,Sipos Krisztián,1326,27777158-1-42,Sipos.Krisztián@email.hu,+36740400465
1622,Balázs Bella,1336,30167242-2-41,Balázs.Bella@email.hu,+36151247241
1623,Hegedüs Zoltán,1959,48300457-1-25,Hegedüs.Zoltán@email.hu,+36375885811
1624,Takács Emili,1099,94234825-1-05,Takács.Emili@email.hu,+36496848432
1625,Szücs József,1367,45171612-1-05,Szücs.József@email.hu,+36883155598
1626,Borbély Levente,2306,69074424-2-35,Borbély.Levente@email.hu,+36519613600
1627,Simon Lilien,1132,73840221-1-35,Simon.Lilien@email.hu,+36536742400
1628,Dudás Roland,2304,98859897-2-15,Dudás.Roland@email.hu,+36960250297
1629,Szilágyi Johanna,2598,40900435-1-30,Szilágyi.Johanna@email.hu,+36320683338
1630,László Zsófia,569,21406933-1-42,László.Zsófia@email.hu,+36992476289
1631,Sándor Gréta,1147,32110565-1-25,Sándor.Gréta@email.hu,+36102459206
1632,Kerekes Mihály,1693,86576234-2-30,Kerekes.Mihály@email.hu,+36424440739
1633,Antal Bálint,2849,31713986-2-41,Antal.Bálint@email.hu,+36305078876
1634,Jónás Tibor,2079,18763765-1-42,Jónás.Tibor@email.hu,+36762933832
1635,Balogh Norbert,746,29390936-1-07,Balogh.Norbert@email.hu,+36646673326
1636,Szőke Letícia,1591,26142208-2-05,Szőke.Letícia@email.hu,+36433985978
1637,Hegedüs Donát,473,12236620-1-35,Hegedüs.Donát@email.hu,+36556350258
1638,Hajas András,2295,80496931-1-03,Hajas.András@email.hu,+36652217186
1639,Kis Norina,2413,39575285-1-05,Kis.Norina@email.hu,+36371617913
1640,Mészáros Flóra,570,15317066-2-03,Mészáros.Flóra@email.hu,+36154124818
1641,Király Maja,2308,49181979-1-42,Király.Maja@email.hu,+36720283355
1642,Orbán Vanessza,2608,55140325-2-07,Orbán.Vanessza@email.hu,+36367053753
1643,Vincze László,1361,94273037-2-25,Vincze.László@email.hu,+36200581156
1644,Máté Zalán,1220,15579689-2-30,Máté.Zalán@email.hu,+36709191707
1645,Hegedűs Boróka,290,80655555-1-30,Hegedűs.Boróka@email.hu,+36119081944
1646,Kerekes Milán,61,48184690-2-25,Kerekes.Milán@email.hu,+36154061278
1647,Péter Petra,1056,27129412-2-05,Péter.Petra@email.hu,+36754430962
1648,Fülöp Zétény,1038,82068630-1-25,Fülöp.Zétény@email.hu,+36957061081
1649,Mészáros Kata,2391,75241110-1-10,Mészáros.Kata@email.hu,+36306364189
1650,Barta Kolos,2035,46781219-2-30,Barta.Kolos@email.hu,+36467055652
1651,Bogdán Róbert,497,96467910-2-41,Bogdán.Róbert@email.hu,+36216905721
1652,Gál Zita,132,86704420-1-30,Gál.Zita@email.hu,+36616236447
1653,László Kincső,1669,67296089-1-05,László.Kincső@email.hu,+36970322401
1654,Hajas Imre,2987,22675014-2-42,Hajas.Imre@email.hu,+36242917531
1655,Soós Panna,2820,50265708-1-42,Soós.Panna@email.hu,+36937211223
1656,Szabó Noémi,898,81918984-2-25,Szabó.Noémi@email.hu,+36165626184
1657,Sipos Bálint,248,93425313-2-30,Sipos.Bálint@email.hu,+36526255438
1658,Székely Imre,1191,35859643-1-03,Székely.Imre@email.hu,+36567130556
1659,Deák József,2972,30451314-1-41,Deák.József@email.hu,+36988830144
1660,Pásztor Fanni,630,98761077-1-03,Pásztor.Fanni@email.hu,+36558958220
1661,Gál Jázmin,2329,78799728-1-15,Gál.Jázmin@email.hu,+36705127870
1662,Juhász Zita,383,96143028-2-10,Juhász.Zita@email.hu,+36492784489
1663,Jakab Vencel,124,64458439-1-30,Jakab.Vencel@email.hu,+36747328148
1664,Papp Fanni,146,92783518-1-15,Papp.Fanni@email.hu,+36655707121
1665,Sándor György,1475,85788539-2-41,Sándor.György@email.hu,+36321513562
1666,Barta Kevin,187,91617748-2-30,Barta.Kevin@email.hu,+36797162269
1667,Németh Sándor,399,46168723-1-15,Németh.Sándor@email.hu,+36731963593
1668,Kis László,2426,95827189-2-15,Kis.László@email.hu,+36118654959
1669,Fazekas Gréta,2965,81546313-1-41,Fazekas.Gréta@email.hu,+36709181814
1670,László Kitti,1480,36025010-1-25,László.Kitti@email.hu,+36724239538
1671,Bálint Rebeka,1393,44043647-1-41,Bálint.Rebeka@email.hu,+36443727854
1672,Lukács Krisztofer,2953,38077671-1-25,Lukács.Krisztofer@email.hu,+36121463562
1673,Máté Imre,1712,42891052-2-35,Máté.Imre@email.hu,+36931522927
1674,Juhász Rozina,2,12710639-1-10,Juhász.Rozina@email.hu,+36748080018
1675,Gulyás Márk,901,58804126-2-10,Gulyás.Márk@email.hu,+36408805214
1676,Balázs Dániel,1022,32871340-2-15,Balázs.Dániel@email.hu,+36388771071
1677,Balog Rikárdó,2279,86128711-1-42,Balog.Rikárdó@email.hu,+36866090443
1678,Orbán Zita,44,92955274-2-15,Orbán.Zita@email.hu,+36582118462
1679,Orsós Fruzsina,114,73813776-2-41,Orsós.Fruzsina@email.hu,+36393190848
1680,Antal Dominik,611,57221429-1-05,Antal.Dominik@email.hu,+36744518678
1681,Hajdu Gábor,554,12179519-1-30,Hajdu.Gábor@email.hu,+36680606997
1682,Király Csongor,2397,52006097-1-35,Király.Csongor@email.hu,+36495105677
1683,Gulyás Kristóf,2217,83853293-2-30,Gulyás.Kristóf@email.hu,+36669310467
1684,Mezei Kevin,2867,54353722-1-25,Mezei.Kevin@email.hu,+36769052044
1685,Szücs Benett,2375,75173528-2-25,Szücs.Benett@email.hu,+36790994927
1686,Kerekes Flórián,320,95640650-1-15,Kerekes.Flórián@email.hu,+36401647117
1687,Szűcs Hunor,2328,79514652-2-07,Szűcs.Hunor@email.hu,+36369542696
1688,Farkas Dóra,2165,69273478-1-07,Farkas.Dóra@email.hu,+36977585702
1689,Pap Bertalan,1563,28732564-1-25,Pap.Bertalan@email.hu,+36741146967
1690,Major Csanád,2152,97706458-2-25,Major.Csanád@email.hu,+36496471501
1691,Horváth Adél,647,82951401-1-42,Horváth.Adél@email.hu,+36823154898
1692,Orbán Emili,1586,36611483-1-25,Orbán.Emili@email.hu,+36904644060
1693,Kocsis Panna,1627,20280125-2-35,Kocsis.Panna@email.hu,+36578811400
1694,Szilágyi Balázs,1088,91048713-1-35,Szilágyi.Balázs@email.hu,+36728084051
1695,Szőke Zita,545,86751844-2-42,Szőke.Zita@email.hu,+36364421305
1696,Csonka Iván,1229,13273457-2-30,Csonka.Iván@email.hu,+36242923225
1697,Hajas Szilárd,1789,50916392-2-42,Hajas.Szilárd@email.hu,+36535149963
1698,Mészáros Imre,520,61724025-2-30,Mészáros.Imre@email.hu,+36460298393
1699,Szabó Kolos,2048,80025655-1-10,Szabó.Kolos@email.hu,+36403102504
1700,Sipos Hanna,2407,49272312-1-41,Sipos.Hanna@email.hu,+36237344032
1701,Deák Flóra,1966,62250473-2-30,Deák.Flóra@email.hu,+36337522044
1702,Balog Brendon,934,81536728-1-35,Balog.Brendon@email.hu,+36651200362
1703,Dudás Vilmos,377,60756823-1-07,Dudás.Vilmos@email.hu,+36263303627
1704,Somogyi Natália,216,99450606-1-10,Somogyi.Natália@email.hu,+36497549009
1705,Farkas Maja,2946,62972078-2-10,Farkas.Maja@email.hu,+36938752156
1706,Major Noémi,2847,28624746-2-42,Major.Noémi@email.hu,+36110866518
1707,Balázs Csongor,724,14047876-2-15,Balázs.Csongor@email.hu,+36600137878
1708,Csonka Blanka,972,24819957-1-42,Csonka.Blanka@email.hu,+36237666742
1709,Somogyi Botond,1391,24105394-1-10,Somogyi.Botond@email.hu,+36749536675
1710,Lukács Zoé,1103,77628874-2-07,Lukács.Zoé@email.hu,+36563864512
1711,Sipos Virág,924,56024779-2-05,Sipos.Virág@email.hu,+36214960098
1712,Balázs Dávid,2508,60704545-1-35,Balázs.Dávid@email.hu,+36859561334
1713,Simon Nolen,382,22280373-2-35,Simon.Nolen@email.hu,+36189364067
1714,Orbán Milán,1666,33464391-1-15,Orbán.Milán@email.hu,+36259735825
1715,Major Sándor,2379,56816066-1-05,Major.Sándor@email.hu,+36793775581
1716,Pál Bence,2236,87028137-1-07,Pál.Bence@email.hu,+36225446553
1717,Somogyi Lara,470,72524242-1-05,Somogyi.Lara@email.hu,+36738898380
1718,Mészáros Leila,2560,70339223-1-30,Mészáros.Leila@email.hu,+36893700462
1719,Juhász Soma,74,77844496-2-15,Juhász.Soma@email.hu,+36780136552
1720,Balázs Panna,460,50382395-2-05,Balázs.Panna@email.hu,+36835290803
1721,Jakab Kinga,163,72337603-1-30,Jakab.Kinga@email.hu,+36443043933
1722,Jónás Kolos,538,37129752-1-35,Jónás.Kolos@email.hu,+36669802248
1723,Katona Emma,168,37329133-2-35,Katona.Emma@email.hu,+36292932350
1724,László Dorottya,118,44074362-2-42,László.Dorottya@email.hu,+36228134671
1725,Farkas Barnabás,138,13308116-1-05,Farkas.Barnabás@email.hu,+36816508997
1726,Somogyi Adél,2111,67666670-1-41,Somogyi.Adél@email.hu,+36454508152
1727,Dudás Zoé,631,78032052-2-10,Dudás.Zoé@email.hu,+36458076520
1728,Kis Tamás,2928,12076845-1-41,Kis.Tamás@email.hu,+36218863236
1729,Fehér Emili,1761,76193300-2-35,Fehér.Emili@email.hu,+36399083071
1730,Papp Gyula,1976,15765177-2-07,Papp.Gyula@email.hu,+36181306348
1731,Barna Zénó,1536,42189454-1-41,Barna.Zénó@email.hu,+36769045465
1732,Márton Letícia,1063,84639192-2-03,Márton.Letícia@email.hu,+36421216409
1733,Fülöp Erik,299,73164125-1-30,Fülöp.Erik@email.hu,+36194440317
1734,Szücs Gergő,10,84775970-1-41,Szücs.Gergő@email.hu,+36171271175
1735,Vörös Hunor,949,55205462-2-41,Vörös.Hunor@email.hu,+36422420994
1736,Márton Izabella,1924,80877296-1-15,Márton.Izabella@email.hu,+36944830993
1737,Szalai Lotti,1325,51483780-1-10,Szalai.Lotti@email.hu,+36247226409
1738,Bálint Márk,1306,44637193-2-42,Bálint.Márk@email.hu,+36187185817
1739,Szőke Alexander,2225,51616150-2-35,Szőke.Alexander@email.hu,+36745724246
1740,Vass József,1832,16783290-2-07,Vass.József@email.hu,+36695552769
1741,Jakab Zara,1900,51827282-2-25,Jakab.Zara@email.hu,+36716933597
1742,Tóth Ábel,661,24929202-2-05,Tóth.Ábel@email.hu,+36147300313
1743,Fodor Benjamin,79,15402591-1-15,Fodor.Benjamin@email.hu,+36243473386
1744,Szekeres Szofia,2764,11338196-2-41,Szekeres.Szofia@email.hu,+36192706814
1745,Fekete Ferenc,533,11916186-1-42,Fekete.Ferenc@email.hu,+36296935762
1746,Fülöp Krisztofer,443,82481362-1-05,Fülöp.Krisztofer@email.hu,+36879017922
1747,Gulyás Benjamin,509,74565616-2-10,Gulyás.Benjamin@email.hu,+36730704352
1748,Fekete Flórián,2265,47050240-2-42,Fekete.Flórián@email.hu,+36334499934
1749,Hajas Janka,1012,94467154-1-03,Hajas.Janka@email.hu,+36849732828
1750,Kozma Rebeka,613,59958213-2-35,Kozma.Rebeka@email.hu,+36154399111
1751,Fekete Zselyke,63,90983721-1-07,Fekete.Zselyke@email.hu,+36419449203
1752,Szücs Benjámin,1533,40811676-2-03,Szücs.Benjámin@email.hu,+36556873859
1753,Székely Linett,2750,44114035-1-35,Székely.Linett@email.hu,+36595586199
1754,Orosz Nóra,893,89877765-1-30,Orosz.Nóra@email.hu,+36483236058
1755,Vörös Flórián,1549,37169215-1-15,Vörös.Flórián@email.hu,+36709724458
1756,Deák Rozina,733,85355227-2-35,Deák.Rozina@email.hu,+36583144154
1757,Kozma Zselyke,71,14442103-1-41,Kozma.Zselyke@email.hu,+36373692371
1758,Hajas Ábel,2563,76916968-2-30,Hajas.Ábel@email.hu,+36950593314
1759,Juhász Szilárd,2382,56376998-1-30,Juhász.Szilárd@email.hu,+36596464370
1760,Fodor Emília,140,55539914-2-03,Fodor.Emília@email.hu,+36499668363
1761,Máté Rozina,1521,10827200-1-10,Máté.Rozina@email.hu,+36568214355
1762,Halász Kristóf,99,62205537-2-15,Halász.Kristóf@email.hu,+36396699001
1763,Kelemen Olívia,1514,98861162-1-05,Kelemen.Olívia@email.hu,+36754008029
1764,Takács Lajos,1719,68574724-2-30,Takács.Lajos@email.hu,+36583654687
1765,Fehér Emese,1870,95673926-2-05,Fehér.Emese@email.hu,+36710243405
1766,Kiss Róza,2164,31620093-1-15,Kiss.Róza@email.hu,+36709168047
1767,Boros Alíz,1514,47774926-1-30,Boros.Alíz@email.hu,+36680545376
1768,Török Balázs,2676,87738908-2-15,Török.Balázs@email.hu,+36933517251
1769,Pataki Janka,22,38493435-2-42,Pataki.Janka@email.hu,+36752739189
1770,Veres Szilárd,2759,36173276-1-10,Veres.Szilárd@email.hu,+36764368946
1771,Tóth Ádám,216,95778864-1-15,Tóth.Ádám@email.hu,+36893644502
1772,Vörös Nikolasz,1468,88121555-2-30,Vörös.Nikolasz@email.hu,+36567136922
1773,Gál Norbert,2639,78957578-1-15,Gál.Norbert@email.hu,+36163400575
1774,Gál Zita,546,31295713-1-35,Gál.Zita@email.hu,+36100008142
1775,Hegedűs Dóra,864,58789620-2-05,Hegedűs.Dóra@email.hu,+36133781565
1776,Hajas Brendon,1806,17642908-2-25,Hajas.Brendon@email.hu,+36311167979
1777,Juhász Leila,2762,81961667-1-25,Juhász.Leila@email.hu,+36441753221
1778,Oláh Viktória,2707,86225443-2-15,Oláh.Viktória@email.hu,+36115649895
1779,Faragó Mirkó,1889,92392682-2-25,Faragó.Mirkó@email.hu,+36846623267
1780,Orsós Nóra,1999,81061259-1-41,Orsós.Nóra@email.hu,+36852915433
1781,Soós Zoltán,907,53335561-2-03,Soós.Zoltán@email.hu,+36639228158
1782,Sipos Alexandra,670,91216319-1-35,Sipos.Alexandra@email.hu,+36139000946
1783,Novák Bendegúz,1220,67844197-1-03,Novák.Bendegúz@email.hu,+36284554766
1784,Fekete Kitti,454,76469593-2-25,Fekete.Kitti@email.hu,+36260108319
1785,Vörös Gréta,1217,75015961-1-41,Vörös.Gréta@email.hu,+36677281503
1786,Tamás Boróka,2308,61612285-2-10,Tamás.Boróka@email.hu,+36227595965
1787,Csonka Emese,617,10759664-2-42,Csonka.Emese@email.hu,+36741054568
1788,Máté Hanna,1710,43520866-2-25,Máté.Hanna@email.hu,+36626628616
1789,Pásztor Gyula,765,17841262-1-30,Pásztor.Gyula@email.hu,+36376971075
1790,Dudás Dávid,2519,30084741-1-30,Dudás.Dávid@email.hu,+36754701198
1791,Csonka Amira,1158,36669701-2-42,Csonka.Amira@email.hu,+36586562981
1792,Faragó Vencel,1066,34801318-1-07,Faragó.Vencel@email.hu,+36212057453
1793,Simon Alexander,1228,48494701-2-35,Simon.Alexander@email.hu,+36506145805
1794,Kiss Nóra,1391,56310743-1-07,Kiss.Nóra@email.hu,+36261480241
1795,Vass Benett,2615,66190596-2-15,Vass.Benett@email.hu,+36142762773
1796,Balog Bianka,1105,49856251-2-30,Balog.Bianka@email.hu,+36335658955
1797,Szűcs Kende,1450,76302545-2-25,Szűcs.Kende@email.hu,+36308716642
1798,Faragó Bianka,664,97062372-2-30,Faragó.Bianka@email.hu,+36575243057
1799,Fazekas Viktória,198,65898775-1-15,Fazekas.Viktória@email.hu,+36397887767
1800,Soós Richárd,672,40530599-2-07,Soós.Richárd@email.hu,+36503192073
1801,Major Alíz,1232,94940942-1-41,Major.Alíz@email.hu,+36213896906
1802,Tamás Balázs,137,47061213-1-15,Tamás.Balázs@email.hu,+36712611459
1803,Szabó Dorka,1548,68791311-1-25,Szabó.Dorka@email.hu,+36497185102
1804,Sipos Levente,557,28528385-1-25,Sipos.Levente@email.hu,+36100788240
1805,Kelemen Flórián,2701,24413856-2-41,Kelemen.Flórián@email.hu,+36176178967
1806,Kocsis Zétény,899,63096672-2-42,Kocsis.Zétény@email.hu,+36767736639
1807,Simon Norina,1198,22088604-1-42,Simon.Norina@email.hu,+36408897643
1808,Fehér Eliza,1509,73052828-1-25,Fehér.Eliza@email.hu,+36511002416
1809,Bodnár Lotti,2333,91322652-2-07,Bodnár.Lotti@email.hu,+36364878852
1810,Gál Leila,2046,79760813-2-35,Gál.Leila@email.hu,+36413980838
1811,Oláh Róza,275,63628066-1-15,Oláh.Róza@email.hu,+36156815291
1812,Fodor Kiara,2667,78451165-1-30,Fodor.Kiara@email.hu,+36273466835
1813,Borbély Dorina,2978,44758792-2-05,Borbély.Dorina@email.hu,+36119394405
1814,Pap Rebeka,2687,35550245-2-30,Pap.Rebeka@email.hu,+36658973295
1815,Oláh Bertalan,1537,62438859-1-25,Oláh.Bertalan@email.hu,+36775864563
1816,Hajas Zara,156,69845386-1-42,Hajas.Zara@email.hu,+36444637768
1817,Bálint Lara,1183,54595847-2-05,Bálint.Lara@email.hu,+36127568594
1818,Márton Anna,365,82626075-1-05,Márton.Anna@email.hu,+36509324069
1819,Szilágyi Liliána,2806,53793269-2-10,Szilágyi.Liliána@email.hu,+36821797542
1820,Farkas Róza,1866,94296148-2-42,Farkas.Róza@email.hu,+36498071799
1821,Orbán Kamilla,852,81094935-1-41,Orbán.Kamilla@email.hu,+36883537837
1822,Sándor Dalma,2108,64488566-2-30,Sándor.Dalma@email.hu,+36969341117
1823,Oláh Kolos,1215,40132154-2-10,Oláh.Kolos@email.hu,+36571970535
1824,Hegedüs Krisztofer,2805,68643200-1-03,Hegedüs.Krisztofer@email.hu,+36913462349
1825,Kocsis Anna,906,59738081-1-35,Kocsis.Anna@email.hu,+36193230324
1826,Hegedüs Hanna,1453,31212053-1-35,Hegedüs.Hanna@email.hu,+36697011408
1827,Rácz Liliána,2545,99861360-1-42,Rácz.Liliána@email.hu,+36976415475
1828,Kerekes Maja,553,82881342-1-35,Kerekes.Maja@email.hu,+36817344692
1829,Lukács Csenge,235,25339624-2-41,Lukács.Csenge@email.hu,+36872669728
1830,Novák Natasa,2063,69167875-1-41,Novák.Natasa@email.hu,+36713546968
1831,Bálint Bella,2660,91574868-1-25,Bálint.Bella@email.hu,+36917875695
1832,Barta Botond,1403,45133802-1-35,Barta.Botond@email.hu,+36781934522
1833,Balog Lia,1813,80561175-1-41,Balog.Lia@email.hu,+36633186486
1834,Pásztor Olivér,521,22096589-2-25,Pásztor.Olivér@email.hu,+36358855554
1835,Török Amira,71,46354823-2-25,Török.Amira@email.hu,+36654442886
1836,Jónás Hédi,74,66508854-2-42,Jónás.Hédi@email.hu,+36842041058
1837,Szabó Vanda,1426,82659514-1-03,Szabó.Vanda@email.hu,+36557240202
1838,Gál Olivér,2967,99550317-1-10,Gál.Olivér@email.hu,+36199190885
1839,Fazekas Szabolcs,57,22290244-1-07,Fazekas.Szabolcs@email.hu,+36999353710
1840,Farkas Csaba,2622,72153796-2-07,Farkas.Csaba@email.hu,+36824969221
1841,Balog Diána,414,99758187-2-35,Balog.Diána@email.hu,+36734122680
1842,Kelemen Letícia,1412,87941341-2-42,Kelemen.Letícia@email.hu,+36245476511
1843,Bakos Boglárka,1681,12432720-1-41,Bakos.Boglárka@email.hu,+36277174123
1844,Kis Norbert,1023,88314954-2-35,Kis.Norbert@email.hu,+36878414595
1845,Gulyás Levente,1550,26691181-1-35,Gulyás.Levente@email.hu,+36613310266
1846,László Liliána,795,18453042-1-03,László.Liliána@email.hu,+36328520505
1847,Hajdu Maja,392,50277032-1-41,Hajdu.Maja@email.hu,+36108087407
1848,Sipos Mira,844,73178963-1-05,Sipos.Mira@email.hu,+36762596868
1849,Illés Zara,2158,54106389-2-07,Illés.Zara@email.hu,+36401040036
1850,Török Dorottya,1764,56579716-1-42,Török.Dorottya@email.hu,+36613549362
1851,Deák Diána,2226,55494910-1-25,Deák.Diána@email.hu,+36223514720
1852,Márton Liliána,390,53910977-2-42,Márton.Liliána@email.hu,+36714816931
1853,Sándor Kinga,163,13503610-1-41,Sándor.Kinga@email.hu,+36668869873
1854,Papp Dorina,636,31837133-2-41,Papp.Dorina@email.hu,+36815240327
1855,Bakos Viktor,2124,19670171-1-05,Bakos.Viktor@email.hu,+36535078594
1856,Balogh Hanna,1428,90686882-2-35,Balogh.Hanna@email.hu,+36159980146
1857,Balog Gyula,1226,67163566-1-05,Balog.Gyula@email.hu,+36156065283
1858,Borbély Zalán,1047,60382617-1-03,Borbély.Zalán@email.hu,+36499147111
1859,Pásztor Viktor,1955,29024810-1-10,Pásztor.Viktor@email.hu,+36822982274
1860,Biró Hanga,552,53436309-2-30,Biró.Hanga@email.hu,+36394591917
1861,Orbán Ábel,658,23469818-2-25,Orbán.Ábel@email.hu,+36706745522
1862,Csonka Zsombor,2949,89441767-1-05,Csonka.Zsombor@email.hu,+36506977308
1863,Pál Letícia,579,17947711-1-07,Pál.Letícia@email.hu,+36553757046
1864,Budai Zita,2574,82389283-1-07,Budai.Zita@email.hu,+36566756242
1865,Király Kata,1690,48420451-1-35,Király.Kata@email.hu,+36411529501
1866,Barta Sára,1176,78728770-1-25,Barta.Sára@email.hu,+36290305127
1867,Illés Kiara,158,58124496-2-30,Illés.Kiara@email.hu,+36555704707
1868,Pataki Csongor,1761,82896709-2-30,Pataki.Csongor@email.hu,+36675963210
1869,Farkas Tamara,1921,49429928-1-30,Farkas.Tamara@email.hu,+36919954767
1870,Oláh Imre,767,56164511-1-07,Oláh.Imre@email.hu,+36849247863
1871,Hegedüs Natália,1034,47420378-1-30,Hegedüs.Natália@email.hu,+36802821925
1872,Molnár Simon,519,15280035-2-42,Molnár.Simon@email.hu,+36843802067
1873,Szűcs Noel,2612,30570337-1-07,Szűcs.Noel@email.hu,+36425394717
1874,Barna Bendegúz,2487,41873980-2-30,Barna.Bendegúz@email.hu,+36912252679
1875,László Elizabet,757,54772467-1-05,László.Elizabet@email.hu,+36679373476
1876,Molnár Dorina,1744,53388100-2-25,Molnár.Dorina@email.hu,+36653485685
1877,Király Hunor,2731,22290353-2-10,Király.Hunor@email.hu,+36707591353
1878,Vörös Vanda,2496,12051706-1-42,Vörös.Vanda@email.hu,+36608980298
1879,Rácz Kevin,560,12186526-1-41,Rácz.Kevin@email.hu,+36315576443
1880,Vass Lara,2415,11519546-2-07,Vass.Lara@email.hu,+36780134177
1881,Novák Júlia,366,41169527-1-15,Novák.Júlia@email.hu,+36604348361
1882,Bálint Dorottya,1005,86916904-1-03,Bálint.Dorottya@email.hu,+36229242967
1883,Horváth Donát,699,89009459-2-10,Horváth.Donát@email.hu,+36431729015
1884,Novák Zoé,775,28994414-2-07,Novák.Zoé@email.hu,+36274544724
1885,Kovács Réka,2140,73907472-1-41,Kovács.Réka@email.hu,+36505456607
1886,Szalai Veronika,1575,97898398-1-05,Szalai.Veronika@email.hu,+36218483123
1887,Balázs Áron,545,91864698-1-15,Balázs.Áron@email.hu,+36128489008
1888,Kiss Milán,483,18958549-2-25,Kiss.Milán@email.hu,+36733370517
1889,Halász Boglárka,701,62660925-2-42,Halász.Boglárka@email.hu,+36739201318
1890,Novák Áron,947,15902447-1-03,Novák.Áron@email.hu,+36509887099
1891,Tóth Róbert,1152,59579795-1-35,Tóth.Róbert@email.hu,+36701400134
1892,Hegedüs Szofi,2683,82511404-1-25,Hegedüs.Szofi@email.hu,+36973517449
1893,Szilágyi Boglárka,317,40760014-1-25,Szilágyi.Boglárka@email.hu,+36291632968
1894,Orbán Soma,1809,29088441-2-15,Orbán.Soma@email.hu,+36620186152
